lat,lng,pop
-107.02,40.55,2
-108.52,37.85,2
-105.44,43.15,2
-103.09,40.82,2
-109.45,42.81,2
30.7,13.75,2
28.22,12.0,2
30.97,10.9,2
30.42,16.67,2
27.87,14.88,2
51.51,44.98,2
55.48,46.06,2
51.01,42.0,2
54.74,43.06,2
48.12,46.78,2
52.07,47.99,2
41.04,35.39,2
38.09,30.88,2
41.04,32.4,2
20.62,-12.67,2
17.79,-11.42,2
23.15,-10.83,2
20.29,-9.61,2
20.95,-15.75,2
18.08,-14.47,2
23.51,-13.92,2
-88.35,10.51,2
-86.7,8.23,2
-91.29,10.27,2
-89.68,7.99,2
25.33,52.17,2
28.51,56.2,2
20.13,55.58,2
-77.76,27.43,2
-78.92,29.98,2
-75.07,27.12,2
-76.11,29.63,2
-76.67,24.92,2
120.37,44.68,2
117.32,43.48,2
120.77,46.96,2
117.31,46.01,2
37.45,-13.52,2
36.92,-10.47,2
85.56,57.1,2
88.65,59.51,2
87.96,54.39,2
80.0,57.19,2
82.8,59.74,2
-86.92,17.91,2
-84.08,17.95,2
-85.39,20.43,2
-89.86,17.83,2
-85.58,15.47,2
6.48,40.5,2
-0.77,41.44,2
-73.18,22.24,2
-75.65,22.46,2
-74.61,20.09,2
-71.65,24.36,2
-70.74,22.03,2
-74.09,24.66,2
117.19,7.72,2
119.98,7.34,2
115.48,5.37,2
118.24,5.01,2
116.14,10.42,2
118.93,10.06,2
114.4,8.07,2
154.18,-34.39,2
156.31,-31.82,2
152.65,-31.54,2
155.82,-37.21,2
151.93,-36.91,2
157.96,-34.62,2
35.52,62.52,2
32.08,57.99,2
36.02,59.77,2
30.42,63.36,2
27.66,58.81,2
143.65,39.55,2
145.81,41.94,2
145.07,36.87,2
147.22,39.24,2
171.16,-37.15,2
169.12,-34.62,2
172.69,-34.41,2
169.5,-39.89,2
167.43,-37.35,2
173.3,-39.59,2
122.2,22.26,2
125.19,22.06,2
120.37,19.96,2
123.29,19.75,2
124.08,24.52,2
-73.78,-1.04,2
-76.78,-1.28,2
-72.58,1.64,2
23.15,-33.43,2
19.99,-32.2,2
25.93,-31.82,2
22.75,-30.65,2
23.55,-36.11,2
20.34,-34.93,2
-102.32,17.01,2
127.68,8.9,2
126.58,11.72,2
-77.04,-14.71,2
-75.19,-17.18,2
-80.22,-15.02,2
-78.38,-17.52,2
-73.91,-14.37,2
-78.88,-12.2,2
43.63,19.1,2
46.07,17.76,2
41.05,17.55,2
43.69,22.0,2
46.2,20.59,2
41.05,20.45,2
133.15,30.69,2
136.35,30.34,2
131.11,28.64,2
134.29,28.33,2
135.16,32.7,2
148.19,-7.93,2
145.23,-7.49,2
150.13,-5.62,2
147.19,-5.16,2
149.18,-10.61,2
146.25,-10.21,2
151.09,-8.34,2
65.75,42.57,2
60.7,38.9,2
58.69,44.01,2
62.82,44.84,2
57.8,41.03,2
-11.61,52.66,2
-9.56,50.07,2
-16.39,52.88,2
-14.08,50.35,2
-8.98,54.84,2
-13.88,55.18,2
94.52,30.73,2
97.91,30.53,2
92.64,28.41,2
93.14,33.23,2
96.48,32.99,2
91.16,30.87,2
65.07,58.83,2
55.2,59.89,2
60.89,60.89,2
-82.01,6.09,2
-80.29,3.68,2
-85.02,5.88,2
-83.32,3.46,2
-79.01,6.29,2
-83.71,8.45,2
135.08,-3.15,2
138.14,-3.68,2
133.12,-5.48,2
136.16,-6.01,2
134.0,-0.26,2
137.06,-0.79,2
132.04,-2.62,2
41.06,11.92,2
41.05,14.7,2
35.95,14.29,2
-93.23,33.37,2
-88.15,30.68,2
-89.78,33.29,2
-93.11,28.17,2
-89.81,28.15,2
-2.61,31.39,2
0.6,30.97,2
-116.77,51.55,2
-120.71,50.72,2
-117.49,48.89,2
-116.03,54.29,2
-112.54,52.27,2
-120.3,53.42,2
-76.27,-6.56,2
-74.47,-9.08,2
-77.56,-9.37,2
-75.01,-3.78,2
-73.23,-6.28,2
134.57,-36.66,2
131.21,-35.76,2
133.78,-33.75,2
135.43,-39.59,2
131.91,-38.66,2
138.1,-37.5,2
156.74,-26.48,2
158.61,-23.96,2
155.26,-23.73,2
158.3,-29.24,2
154.76,-29.02,2
160.18,-26.66,2
-109.94,35.08,2
-104.01,33.01,2
-106.21,35.47,2
-109.04,29.83,2
-105.48,30.21,2
74.9,38.22,2
24.9,-2.88,2
62.96,26.3,2
66.14,26.84,2
62.11,23.73,2
65.16,24.26,2
60.64,28.33,2
63.88,28.95,2
59.87,25.7,2
13.46,6.96,2
48.97,24.85,2
51.31,23.35,2
48.77,22.01,2
25.08,-26.08,2
25.5,-28.99,2
-116.05,28.79,2
-118.37,31.07,2
-112.57,29.36,2
-117.17,25.86,2
-119.44,28.14,2
-113.79,26.44,2
-161.01,23.56,2
-158.36,21.85,2
-163.93,22.22,2
-161.32,20.56,2
-160.68,26.51,2
-158.0,24.85,2
-163.65,25.18,2
-87.03,45.42,2
-84.38,47.72,2
-82.82,44.97,2
-88.86,48.11,2
143.17,-1.83,2
146.18,-2.34,2
141.18,-4.19,2
142.12,1.07,2
145.16,0.54,2
140.12,-1.31,2
-91.54,40.85,2
35.34,26.2,2
29.47,25.77,2
35.17,29.27,2
-81.16,13.35,2
-79.47,11.12,2
-84.1,13.17,2
-82.43,10.95,2
-79.91,15.67,2
-78.24,13.5,2
-82.78,15.55,2
-57.36,-33.35,2
-59.23,-31.38,2
-54.3,-33.3,2
-56.24,-31.26,2
41.04,41.25,2
-110.36,26.94,2
-106.88,27.37,2
-109.5,21.6,2
-111.61,24.04,2
-106.17,22.0,2
77.67,5.61,2
81.92,2.8,2
79.03,2.98,2
83.48,5.31,2
41.05,26.39,2
43.77,24.93,2
41.05,23.41,2
41.04,29.4,2
43.84,27.89,2
38.18,27.84,2
79.12,33.27,2
82.71,33.41,2
77.1,35.74,2
80.85,35.93,2
99.35,28.0,2
-57.03,-26.89,2
-54.0,-26.74,2
-58.13,-29.14,2
-59.98,-27.05,2
-55.12,-29.05,2
-6.82,10.08,2
-10.71,12.15,2
-9.49,10.0,2
-6.34,14.48,2
-5.25,12.26,2
-9.14,14.45,2
-62.14,-32.03,2
-67.04,-30.86,2
-65.15,-32.72,2
-62.87,-27.66,2
-61.06,-29.53,2
-65.85,-28.29,2
5.51,16.91,2
8.42,16.09,2
3.55,14.95,2
-74.18,15.86,2
-72.5,13.69,2
-77.03,15.78,2
-75.35,13.62,2
-71.38,15.9,2
112.16,13.59,2
115.06,13.16,2
110.36,11.2,2
113.29,10.82,2
110.98,16.37,2
113.95,15.92,2
3.09,55.44,2
-46.85,-30.69,2
-51.17,-33.16,2
-53.16,-31.15,2
-47.99,-32.95,2
135.22,37.44,2
132.19,37.45,2
136.84,39.83,2
133.63,39.83,2
82.76,49.26,2
87.4,49.14,2
80.51,46.56,2
84.97,46.55,2
80.28,51.92,2
85.23,51.87,2
78.04,49.19,2
-70.15,40.01,2
-69.58,37.37,2
-73.0,38.21,2
-67.1,41.75,2
-66.68,39.05,2
35.66,20.15,2
38.42,18.85,2
33.02,18.43,2
35.81,17.18,2
35.51,23.16,2
32.79,21.43,2
130.23,24.04,2
133.37,23.7,2
128.24,21.79,2
131.35,21.47,2
132.24,26.22,2
127.12,24.32,2
-63.58,-23.02,2
-61.78,-25.05,2
-66.53,-23.6,2
-62.5,-20.34,2
-60.71,-22.46,2
-65.38,-20.89,2
-49.28,-8.45,2
-51.23,-6.05,2
-46.21,-7.97,2
-48.18,-5.56,2
-50.38,-11.3,2
-52.32,-8.9,2
-47.31,-10.85,2
17.23,-5.38,2
19.67,-3.57,2
16.97,-2.42,2
17.51,-8.38,2
14.8,-7.16,2
107.42,-1.64,2
106.22,1.04,2
108.59,-4.24,2
110.32,-1.84,2
-6.7,39.59,2
-8.84,37.15,2
91.07,43.62,2
95.04,43.27,2
88.74,41.12,2
92.62,40.89,2
89.34,46.38,2
93.57,46.05,2
21.78,1.17,2
19.37,-0.63,2
22.11,-1.75,2
21.46,4.01,2
24.18,2.96,2
122.09,1.79,2
120.32,-0.51,2
123.15,-1.02,2
121.04,4.58,2
123.91,4.13,2
119.28,2.26,2
94.01,1.97,2
90.93,2.19,2
92.64,4.74,2
95.36,-0.77,2
92.3,-0.54,2
97.09,1.74,2
14.28,14.28,2
17.21,13.31,2
13.58,17.17,2
16.58,16.21,2
11.35,15.21,2
-79.81,20.32,2
-80.97,22.8,2
-78.25,22.65,2
-81.34,17.94,2
-82.54,20.4,2
-78.63,17.92,2
-20.88,13.98,2
-19.31,11.75,2
-23.88,13.77,2
-22.23,11.55,2
-19.46,16.47,2
-22.54,16.28,2
141.27,32.21,2
138.2,32.48,2
143.09,34.52,2
142.6,29.58,2
139.52,29.96,2
144.43,31.84,2
45.8,-27.03,2
48.76,-27.83,2
43.41,-29.04,2
46.45,-29.77,2
45.16,-24.24,2
48.1,-25.0,2
42.78,-26.28,2
-124.75,40.12,2
-127.36,41.93,2
-121.1,40.97,2
-123.74,42.86,2
-125.7,37.32,2
-128.23,39.18,2
14.12,1.53,2
16.45,3.28,2
13.9,4.28,2
14.34,-1.3,2
11.79,-0.22,2
16.71,0.47,2
60.76,-20.02,2
55.49,-21.61,2
58.58,-22.3,2
56.8,-16.56,2
59.8,-17.15,2
54.67,-18.75,2
96.15,9.9,2
92.99,10.12,2
97.95,12.47,2
94.76,12.71,2
97.51,7.08,2
94.38,7.31,2
97.54,37.85,2
95.28,35.56,2
98.61,35.22,2
96.36,40.53,2
99.93,40.08,2
94.01,38.19,2
45.56,-13.53,2
48.35,-14.44,2
43.31,-15.54,2
46.18,-16.45,2
44.96,-10.58,2
47.73,-11.54,2
42.72,-12.56,2
-95.7,50.92,2
-93.36,48.32,2
-100.4,50.83,2
-97.82,48.36,2
-93.28,53.5,2
-90.93,50.81,2
-98.34,53.48,2
41.57,-6.59,2
43.79,-4.71,2
42.14,-9.57,2
39.28,-8.52,2
44.37,-7.64,2
-69.54,-35.77,2
-74.81,-34.4,2
-72.75,-36.34,2
